Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityGpc,dtaExtended_tokens_noLemma_enhancedFilteredList_caseSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseSensitive,"0,59","0,5060240964","0,6495726496","0,6885245902","0,4","0,5467625899","0,8","0,61764359","0,6","0,577798373",42,63,76,19
polarityGpc,dtaExtended_textblob_textLemma_enhancedList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedList,caseInSensitive,"0,59","0,4875","0,6583333333","0,6393442623","0,3939393939","0,5683453237","0,7821782178","0,603844793","0,5880588059","0,5729166667",39,60,79,22
polarityGpc,dtaExtended_textblob_textLemma_enhancedList_caseSensitive,dtaExtended,textblob,textLemma,enhancedList,caseSensitive,"0,585","0,4779874214","0,6556016598","0,6229508197","0,387755102","0,5683453237","0,7745098039","0,5956480717","0,581132453","0,5667945406",38,60,79,23
polarityGpc,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,58","0,475","0,65","0,6229508197","0,3838383838","0,5611510791","0,7722772277","0,5920509494","0,5780578058","0,5625",38,61,78,23
polarityGpc,dtaExtended_treetagger_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,575","0,4785276074","0,641350211","0,6393442623","0,3823529412","0,5467625899","0,7755102041","0,5930534261","0,5789315726","0,5599389092",39,63,76,22
polarityGpc,dtaExtended_textblob_bothLemma_enhancedList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedList,caseInSensitive,"0,575","0,4516129032","0,6530612245","0,5737704918","0,3723404255","0,5755395683","0,7547169811","0,5746550301","0,5635287033","0,5523370639",35,59,80,26
polarityGpc,noExtension_textblob_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,57","0,5113636364","0,6160714286","0,737704918","0,3913043478","0,4964028777","0,8117647059","0,6170538979","0,6015345269","0,5637175325",45,70,69,16
polarityGpc,dtaExtended_textblob_textLemma_standardList_caseSensitive,dtaExtended,textblob,textLemma,standardList,caseSensitive,"0,57","0,5","0,6228070175","0,7049180328","0,3873873874","0,5107913669","0,797752809","0,6078546998","0,5925700982","0,5614035088",43,68,71,18
polarityGpc,noExtension_textblob_bothLemma_enhancedList_caseInSensitive,noExtension,textblob,bothLemma,enhancedList,caseInSensitive,"0,565","0,4528301887","0,6390041494","0,5901639344","0,3673469388","0,5539568345","0,7549019608","0,5720603845","0,5611244498","0,545917169",36,62,77,25
polarityGpc,dtaExtended_textblob_textLemma_standardList_caseInSensitive,dtaExtended,textblob,textLemma,standardList,caseInSensitive,"0,565","0,4971098266","0,6167400881","0,7049180328","0,3839285714","0,5035971223","0,7954545455","0,6042575775","0,5896915584","0,5569249573",43,69,70,18
polarityGpc,dtaExtended_textblob_bothLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,bothLemma,enhancedFilteredList,caseInSensitive,"0,565","0,5028571429","0,6133333333","0,7213114754","0,3859649123","0,4964028777","0,8023255814","0,6088571766","0,5941452468","0,5580952381",44,70,69,17
polarityGpc,noExtension_textblob_bothLemma_standardList_caseInSensitive,noExtension,textblob,bothLemma,standardList,caseInSensitive,"0,555","0,5189189189","0,5860465116","0,7868852459","0,3870967742","0,4532374101","0,8289473684","0,620061328","0,6080220713","0,5524827153",48,76,63,13
polarityGpc,noExtension_textblob_textLemma_enhancedList_caseInSensitive,noExtension,textblob,textLemma,enhancedList,caseInSensitive,"0,55","0,4230769231","0,631147541","0,5409836066","0,3473684211","0,5539568345","0,7333333333","0,5474702205","0,5403508772","0,527112232",33,62,77,28
polarityGpc,dtaExtended_tokens_noLemma_enhancedList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedList,caseInSensitive,"0,55","0,4303797468","0,6280991736","0,5573770492","0,3505154639","0,5467625899","0,7378640777","0,5520698196","0,5441897708","0,5292394602",34,63,76,27
polarityGpc,dtaExtended_treetagger_textLemma_enhancedList_caseInSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseInSensitive,"0,55","0,375","0,6484375","0,4426229508","0,3253012048","0,5971223022","0,7094017094","0,5198726265","0,5173514571","0,51171875",27,56,83,34
polarityGpc,dtaExtended_treetagger_textLemma_enhancedList_caseSensitive,dtaExtended,treetagger,textLemma,enhancedList,caseSensitive,"0,55","0,375","0,6484375","0,4426229508","0,3253012048","0,5971223022","0,7094017094","0,5198726265","0,5173514571","0,51171875",27,56,83,34
polarityGpc,noExtension_textblob_textLemma_standardList_caseInSensitive,noExtension,textblob,textLemma,standardList,caseInSensitive,"0,545","0,4972375691","0,5844748858","0,737704918","0,375","0,4604316547","0,8","0,5990682864","0,5875","0,5408562275",45,75,64,16
polarityGpc,noExtension_textblob_textLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,545","0,48","0,5955555556","0,6885245902","0,3684210526","0,4820143885","0,7790697674","0,5852694893","0,57374541","0,5377777778",42,72,67,19
polarityGpc,dtaExtended_tokens_noLemma_standardList_caseSensitive,dtaExtended,tokens,noLemma,standardList,caseSensitive,"0,545","0,4858757062","0,5919282511","0,7049180328","0,3706896552","0,4748201439","0,7857142857","0,5898690883","0,5782019704","0,5389019787",43,73,66,18
polarityGpc,dtaExtended_tokens_noLemma_enhancedList_caseSensitive,dtaExtended,tokens,noLemma,enhancedList,caseSensitive,"0,545","0,4203821656","0,6255144033","0,5409836066","0,34375","0,5467625899","0,7307692308","0,5438730982","0,5372596154","0,5229482844",33,63,76,28
polarityGpc,dtaExtended_textblob_bothLemma_standardList_caseInSensitive,dtaExtended,textblob,bothLemma,standardList,caseInSensitive,"0,545","0,5081081081","0,576744186","0,7704918033","0,3790322581","0,4460431655","0,8157894737","0,6082674844","0,5974108659","0,5424261471",47,77,62,14
polarityGpc,noExtension_treetagger_textLemma_standardList_caseSensitive,noExtension,treetagger,textLemma,standardList,caseSensitive,"0,54","0,4831460674","0,5855855856","0,7049180328","0,3675213675","0,4676258993","0,7831325301","0,586271966","0,5753269488","0,5343658265",43,74,65,18
polarityGpc,dtaExtended_tokens_noLemma_standardList_caseInSensitive,dtaExtended,tokens,noLemma,standardList,caseInSensitive,"0,54","0,4831460674","0,5855855856","0,7049180328","0,3675213675","0,4676258993","0,7831325301","0,586271966","0,5753269488","0,5343658265",43,74,65,18
